QUERY_ID,QUERY_TEXT,RESULT,SKIP_PERCENTAGE
1,$[*]..id,933840,0
2,$[*].retweeted_status..[*],12220351,0.4495813048386163
3,$[*].retweeted_status[*].user,18089,0.5470096433355958
4,$[*].retweeted_status[*],2664203,0.5730844799451081
5,$[*].user..screen_name,150135,0.6612911708223635
6,$[*].user.profile_image_url_https,150135,0.7080174168008309
7,$[*].quoted_status..[*],2997796,0.7534963087755469
8,$[*].quoted_status[*],761991,0.7757839535072562
9,$[*].retweeted_status.user.name,102389,0.8056609291563785
10,$[*].entities..url,101330,0.8141116473854233
11,$[*].timestamp_ms,150135,0.8517642351069663
12,$[*].entities.symbols[*],64,0.8630482540179943
13,$[*].retweeted_status.id,102389,0.8704005047918222
14,$[*].user.screen_name,150135,0.8891983379273496
15,$[*].geo,150135,0.9018138350590271
16,$[*].source,150135,0.9544444686634486
17,$[*].id,150135,0.9897424588830251
18,$[10000].entities,1,0.9999279533746624
19,$[5000].geo,1,0.9999637221286803
20,$[0].source,1,0.9999996985645813
